Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Building Safety Improvement Works - Contractor Framework - External Wall System Remediation,The Guinness Partnership Ltd,  Opportunity,  Open,  England,"   2 December 2022, 12pm","  £160,000,000","  17 October 2022, last edited  7 November 2022"
Applicant Tracking & Recruitment System,YORKSHIRE HOUSING LIMITED,  Early engagement,  Open,  Yorkshire and the Humber,  14 November 2022,Publication date  7 November 2022,None
Emergency Accommodation Security,Borough Council of King's Lynn & West Norfolk,  Opportunity,  Open,  East of England,"   7 December 2022, 12pm","  £180,000",   7 November 2022
CA11102 - Utility Supply and Energy Management Services Framework,University of Essex,  Opportunity,  Open,  CO4 3SQ,"  18 November 2022, 12pm","  £660,000,000","   5 October 2022, last edited  7 November 2022"
National Highways Area 12 M&R - Facilities Management works,AMEY OW LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"  16 November 2022,  5pm","  £600,000",   7 November 2022
"King William House, Bristol - Replacement of Lift 2",South Somerset District Council,  Opportunity,  Open,  BS14NT,"   7 December 2022, 12pm","  £100,000",   7 November 2022
Surfacing and Civils Works Framework,Blackburn with Darwen Borough Council,  Opportunity,  Open,  England,"   9 December 2022,  5pm","  £7,000,000",   7 November 2022
Tender for the Development of an Estates and Campus Strategy for the University of Birmingham to 2045,THE UNIVERSITY OF BIRMINGHAM,  Opportunity,  Open,  b15 2tt,"   7 December 2022,  3pm","  £250,000 to £500,000",   7 November 2022
Provision of rough sleeper complex needs accommodation,London Borough of Redbridge,  Opportunity,  Open,  England,"   8 December 2022, 12pm","  £1,437,579",   7 November 2022
Market Engagement Event for Integrated MSK Services for South and West Hertfordshire,Attain,  Early engagement,  Open,  AL8 6JL,  25 November 2022,Publication date  7 November 2022,None
Soft Market Test: Power Purchase Agreement (PPA) for Quorn Solar Farm,Leicestershire County Council,  Future opportunity,  Open,  United Kingdom,Approach to market date  1 June 2023,"  £1,000,000 to £10,000,000","   7 November 2022, last edited  7 November 2022"
Public Deliberation Research,Genomics England,  Opportunity,  Open,  EC1M 6BU,"  23 November 2022, 12pm","  £100,000","   7 November 2022, last edited  7 November 2022"
GB-Greenwich: Animated educational videos for the Royal Observatory Greenwich,National Maritime Museum,  Opportunity,  Open,  London,"  25 November 2022, 12pm","  £10,000 to £25,000",   7 November 2022
Outsourced Autism Assessments,Central London Community Healthcare NHS Trust,  Opportunity,  Open,  England,"   7 December 2022, 12pm","  £150,000",   7 November 2022
71 St Kathrines Way - Refurbishment,Warrington Borough Council,  Opportunity,  Open,  England,"   5 December 2022, 12pm","  £100,000",   7 November 2022
Contract 90 - Planned Electrical Works 2023-2025,North Tyneside Council,  Opportunity,  Open,  England,"  13 December 2022, 12pm","  £3,000,000","   7 November 2022, last edited  7 November 2022"
Systems Integrator for SAP S/4 HANA upgrade,BIP SOLUTIONS LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"   6 February 2023, 12am",  £0,   7 November 2022
iDecide Phase3 + - Oversight,NHS England,  Opportunity,  Open,  England,"  28 November 2022, 12pm","  £522,000","  27 October 2022, last edited  7 November 2022"
Consultant required to develop a cultural strategy for Kirklees,Kirklees Council,  Opportunity,  Open,  Yorkshire and the Humber,"   5 December 2022,  9am","  £45,000","   7 November 2022, last edited  7 November 2022"
CA11343 - Tender for Portable Wireless Battery-Powered HD Mobile System,New College Swindon,  Opportunity,  Open,  SN3 1AH,"   6 December 2022, 12pm",  £0,   7 November 2022
CP2300-22 - Contract for the Treatment of Organic Sweepings Waste,Devon County Council,  Early engagement,  Open,  South West,  25 November 2022,Publication date  7 November 2022,None
CP2255-22 Surface Water Flood Warning Pilot Project,Devon County Council,  Opportunity,  Open,  England,"  15 December 2022, 12pm","  £150,000",   7 November 2022
"ASC22031 - Specialist Social Care Services For Young People with Mental Health Needs, and Adults with Mental Health Needs.",Worcestershire County Council,  Opportunity,  Open,  WR5 2NP,"  24 November 2022,  6pm",  £0,   7 November 2022
UKSAC22-0034 Technical Support for UK partnership on MicroCarb project,"Department for Business, Energy & Industrial Strategy",  Opportunity,  Open,  Any region,"  21 November 2022, 11am","  £50,000",   7 November 2022
"Carers Advice, Support and Wellbeing Service and Dementia Support Services in London Borough of Redbridge",London Borough of Redbridge,  Opportunity,  Open,  England,"   7 December 2022,  5pm","  £1,262,028",   7 November 2022
